,BELO JARDIM,CARUARU,OUTRO PAIS,OUTRO ESTADO,JABOATAO DOS GUARARAPES,OLINDA,PETROLINA,RECIFE,FERNANDO DE NORONHA,CAMARAGIBE,GOIANA,SAO LOURENCO DA MATA
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,
2020-03-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,,,,
2020-03-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,,,,
2020-03-16,1.0,0.0,3.0,0.0,1.0,0.0,0.0,13.0,,,,
2020-03-17,1.0,0.0,3.0,0.0,1.0,0.0,0.0,14.0,,,,
2020-03-18,1.0,0.0,3.0,0.0,1.0,0.0,0.0,17.0,,,,
2020-03-19,1.0,0.0,3.0,0.0,1.0,0.0,0.0,23.0,,,,
2020-03-20,1.0,0.0,3.0,0.0,3.0,0.0,0.0,24.0,,,,
2020-03-21,1.0,0.0,3.0,0.0,3.0,0.0,0.0,26.0,,,,
2020-03-22,1.0,0.0,3.0,0.0,3.0,1.0,0.0,29.0,,,,
2020-03-23,1.0,1.0,3.0,1.0,3.0,2.0,1.0,30.0,,,,
2020-03-24,1.0,1.0,3.0,1.0,3.0,2.0,1.0,30.0,,,,
2020-03-25,1.0,1.0,3.0,1.0,3.0,2.0,1.0,30.0,,,,
2020-03-26,1.0,1.0,3.0,1.0,3.0,2.0,1.0,30.0,,,,
2020-03-27,1.0,1.0,3.0,2.0,4.0,3.0,2.0,38.0,1.0,1.0,1.0,
2020-03-28,1.0,1.0,3.0,2.0,5.0,4.0,2.0,46.0,1.0,1.0,1.0,1.0
