forman_ricci,sum_epic,periodo_star,periodo_end
4.0,22.0,12 Mar,18 Mar
4.0,26.0,13 Mar,19 Mar
4.0,29.0,14 Mar,20 Mar
4.0,26.0,15 Mar,21 Mar
5.0,29.0,16 Mar,22 Mar
6.0,24.0,17 Mar,23 Mar
6.0,23.0,18 Mar,24 Mar
6.0,20.0,19 Mar,25 Mar
4.0,14.0,20 Mar,26 Mar
9.0,26.0,21 Mar,27 Mar
10.0,35.0,22 Mar,28 Mar
10.0,36.0,23 Mar,29 Mar
10.0,35.0,24 Mar,30 Mar
11.0,45.0,25 Mar,31 Mar
12.0,53.0,26 Mar,01 Apr
12.0,64.0,27 Mar,02 Apr
11.0,79.0,28 Mar,03 Apr
13.0,108.0,29 Mar,04 Apr
13.0,128.0,30 Mar,05 Apr
15.0,146.0,31 Mar,06 Apr
25.0,265.0,01 Apr,07 Apr
26.0,306.0,02 Apr,08 Apr
35.0,449.0,03 Apr,09 Apr
39.0,548.0,04 Apr,10 Apr
46.833333333333336,640.0,05 Apr,11 Apr
51.87518248175183,758.0,06 Apr,12 Apr
56.12334801762115,931.0,07 Apr,13 Apr
55.985949908368966,932.0,08 Apr,14 Apr
53.60168471720818,1081.0,09 Apr,15 Apr
58.075942350332596,1128.0,10 Apr,16 Apr
64.79706275033378,1322.0,11 Apr,17 Apr
60.786437246963565,1377.0,12 Apr,18 Apr
70.93288084464555,1500.0,13 Apr,19 Apr
69.50337972166999,1537.0,14 Apr,20 Apr
